"ligand","receptor","LR pair"
"Vcam1","Itgb2","Vcam1 - Itgb2"
"Vcam1","Itgb7","Vcam1 - Itgb7"
"Vcan","Cd44","Vcan - Cd44"
"Vcan","Egfr","Vcan - Egfr"
"Vcan","Itga4","Vcan - Itga4"
"Vcan","Itgb1","Vcan - Itgb1"
"Vcan","Sell","Vcan - Sell"
"Vcan","Selp","Vcan - Selp"
"Vcan","Tlr1","Vcan - Tlr1"
"Vcan","Tlr2","Vcan - Tlr2"
"Vegfa","Egfr","Vegfa - Egfr"
"Vegfa","Ephb2","Vegfa - Ephb2"
"Vegfa","Flt1","Vegfa - Flt1"
"Vegfa","Gpc1","Vegfa - Gpc1"
"Vegfa","Itga9","Vegfa - Itga9"
"Vegfa","Itgav","Vegfa - Itgav"
"Vegfa","Itgb1","Vegfa - Itgb1"
"Vegfa","Kdr","Vegfa - Kdr"
"Vegfa","Nrp1","Vegfa - Nrp1"
"Vegfa","Nrp2","Vegfa - Nrp2"
"Vegfa","Ret","Vegfa - Ret"
"Vegfa","Sirpa","Vegfa - Sirpa"
"Vegfa","Tyro3","Vegfa - Tyro3"
"Vegfb","Flt1","Vegfb - Flt1"
"Vegfb","Nrp1","Vegfb - Nrp1"
"Vegfb","Ret","Vegfb - Ret"
"Vegfb","Tyro3","Vegfb - Tyro3"
"Vegfc","Flt1","Vegfc - Flt1"
"Vegfc","Flt4","Vegfc - Flt4"
"Vegfc","Itga9","Vegfc - Itga9"
"Vegfc","Itgb1","Vegfc - Itgb1"
"Vegfc","Kdr","Vegfc - Kdr"
"Vegfc","Lyve1","Vegfc - Lyve1"
"Vegfc","Nrp2","Vegfc - Nrp2"
"Vegfc","Vipr2","Vegfc - Vipr2"
"Vim","Cd44","Vim - Cd44"
"Vip","Adcyap1r1","Vip - Adcyap1r1"
"Vip","Npr3","Vip - Npr3"
"Vip","Sctr","Vip - Sctr"
"Vip","Vipr1","Vip - Vipr1"
"Vip","Vipr2","Vip - Vipr2"
"Vtn","Cd47","Vtn - Cd47"
"Vtn","Itga2b","Vtn - Itga2b"
"Vtn","Itga3","Vtn - Itga3"
"Vtn","Itga5","Vtn - Itga5"
"Vtn","Itga8","Vtn - Itga8"
"Vtn","Itgav","Vtn - Itgav"
"Vtn","Itgb1","Vtn - Itgb1"
"Vtn","Itgb3","Vtn - Itgb3"
"Vtn","Itgb5","Vtn - Itgb5"
"Vtn","Itgb6","Vtn - Itgb6"
"Vtn","Itgb8","Vtn - Itgb8"
"Vtn","Kdr","Vtn - Kdr"
"Vtn","Plaur","Vtn - Plaur"
"Vtn","Pvr","Vtn - Pvr"
"Vtn","Tnfrsf11b","Vtn - Tnfrsf11b"
"Vwf","Gp1ba","Vwf - Gp1ba"
"Vwf","Itga2b","Vwf - Itga2b"
"Vwf","Selp","Vwf - Selp"
"Vwf","Sirpa","Vwf - Sirpa"
"Vwf","Tnfrsf11b","Vwf - Tnfrsf11b"
"Wfdc18","Fgfr1","Wfdc18 - Fgfr1"
"Wnt1","Fzd1","Wnt1 - Fzd1"
"Wnt1","Fzd3","Wnt1 - Fzd3"
"Wnt1","Fzd5","Wnt1 - Fzd5"
"Wnt1","Fzd7","Wnt1 - Fzd7"
"Wnt1","Fzd8","Wnt1 - Fzd8"
"Wnt1","Fzd9","Wnt1 - Fzd9"
"Wnt1","Lrp5","Wnt1 - Lrp5"
"Wnt1","Lrp6","Wnt1 - Lrp6"
"Wnt1","Ryk","Wnt1 - Ryk"
"Wnt11","Fzd7","Wnt11 - Fzd7"
"Wnt16","Fzd6","Wnt16 - Fzd6"
"Wnt2","Fzd1","Wnt2 - Fzd1"
"Wnt2","Fzd5","Wnt2 - Fzd5"
"Wnt2","Fzd7","Wnt2 - Fzd7"
"Wnt2","Fzd8","Wnt2 - Fzd8"
"Wnt2","Fzd9","Wnt2 - Fzd9"
"Wnt2","Lrp6","Wnt2 - Lrp6"
"Wnt3","Fzd1","Wnt3 - Fzd1"
"Wnt3","Fzd5","Wnt3 - Fzd5"
"Wnt3","Fzd7","Wnt3 - Fzd7"
"Wnt3","Fzd8","Wnt3 - Fzd8"
"Wnt3","Lrp6","Wnt3 - Lrp6"
"Wnt3","Ryk","Wnt3 - Ryk"
"Wnt3a","Apcdd1","Wnt3a - Apcdd1"
"Wnt3a","Atp6ap2","Wnt3a - Atp6ap2"
"Wnt3a","Fzd1","Wnt3a - Fzd1"
"Wnt3a","Fzd2","Wnt3a - Fzd2"
"Wnt3a","Fzd5","Wnt3a - Fzd5"
"Wnt3a","Fzd6","Wnt3a - Fzd6"
"Wnt3a","Fzd7","Wnt3a - Fzd7"
"Wnt3a","Fzd8","Wnt3a - Fzd8"
"Wnt3a","Lrp1","Wnt3a - Lrp1"
"Wnt3a","Lrp6","Wnt3a - Lrp6"
"Wnt3a","Ryk","Wnt3a - Ryk"
"Wnt4","Fzd2","Wnt4 - Fzd2"
"Wnt4","Fzd6","Wnt4 - Fzd6"
"Wnt5a","Fzd1","Wnt5a - Fzd1"
"Wnt5a","Fzd2","Wnt5a - Fzd2"
"Wnt5a","Fzd4","Wnt5a - Fzd4"
"Wnt5a","Fzd5","Wnt5a - Fzd5"
"Wnt5a","Fzd6","Wnt5a - Fzd6"
"Wnt5a","Fzd7","Wnt5a - Fzd7"
"Wnt5a","Fzd8","Wnt5a - Fzd8"
"Wnt5a","Lrp5","Wnt5a - Lrp5"
"Wnt5a","Mcam","Wnt5a - Mcam"
"Wnt5a","Ror1","Wnt5a - Ror1"
"Wnt5a","Ror2","Wnt5a - Ror2"
"Wnt5a","Ryk","Wnt5a - Ryk"
"Wnt7a","Fzd10","Wnt7a - Fzd10"
"Wnt7a","Fzd5","Wnt7a - Fzd5"
"Wnt7a","Fzd9","Wnt7a - Fzd9"
"Wnt7a","Lrp6","Wnt7a - Lrp6"
"Wnt7b","Fzd1","Wnt7b - Fzd1"
"Wnt7b","Fzd10","Wnt7b - Fzd10"
"Wnt7b","Lrp5","Wnt7b - Lrp5"
"Xcl1","Xcr1","Xcl1 - Xcr1"
"Yars","Cxcr1","Yars - Cxcr1"
"Zg16","Cxcr4","Zg16 - Cxcr4"
"Zg16","Tlr2","Zg16 - Tlr2"
"Zg16","Tlr4","Zg16 - Tlr4"
"Zg16","Tlr5","Zg16 - Tlr5"
"Zg16","Tlr6","Zg16 - Tlr6"
"Zp3","Egfr","Zp3 - Egfr"
"Zp3","Mertk","Zp3 - Mertk"
"Adm","Crcp","Adm - Crcp"
"Adm","Ramp1","Adm - Ramp1"
"Adm2","Crcp","Adm2 - Crcp"
"Adm2","Ramp2","Adm2 - Ramp2"
"Agt","Prcp","Agt - Prcp"
"App","Ache","App - Ache"
"App","Adam17","App - Adam17"
"App","Ctsd","App - Ctsd"
"App","Klk6","App - Klk6"
"Arhgdib","Casp3","Arhgdib - Casp3"
"Arhgdib","Casp7","Arhgdib - Casp7"
"Bid","Casp2","Bid - Casp2"
"Bid","Casp3","Bid - Casp3"
"Bid","Casp8","Bid - Casp8"
"Bmp8a","Bmpr2","Bmp8a - Bmpr2"
"Bmp8b","Abl1","Bmp8b - Abl1"
"Bmp8b","Fyn","Bmp8b - Fyn"
"C3","Cfb","C3 - Cfb"
"C3","Cpn1","C3 - Cpn1"
"C5","C5ar1","C5 - C5ar1"
"Calca","Crcp","Calca - Crcp"
"Ccl11","Dpp4","Ccl11 - Dpp4"
"Ccl12","Ccr5","Ccl12 - Ccr5"
"Ccl22","Dpp4","Ccl22 - Dpp4"
"Ccl23","Ccr1","Ccl23 - Ccr1"
"Cd36","Hsp90b1","Cd36 - Hsp90b1"
"Cd55","Cd97","Cd55 - Cd97"
"Cflar","Casp10","Cflar - Casp10"
"Cflar","Casp3","Cflar - Casp3"
"Cflar","Casp8","Cflar - Casp8"
"Chga","Plg","Chga - Plg"
"Cntn1","Ptprb","Cntn1 - Ptprb"
"Col1a1","Mmp2","Col1a1 - Mmp2"
"Col4a1","Klk6","Col4a1 - Klk6"
"Copa","Ntsr2","Copa - Ntsr2"
"Copa","Slc25a11","Copa - Slc25a11"
"Crlf1","Cntfr","Crlf1 - Cntfr"
"Ctf1","Ep300","Ctf1 - Ep300"
"Ctnnb1","Abl1","Ctnnb1 - Abl1"
"Ctnnb1","Ar","Ctnnb1 - Ar"
"Ctnnb1","Carm1","Ctnnb1 - Carm1"
"Ctnnb1","Chuk","Ctnnb1 - Chuk"
"Ctnnb1","Egfr","Ctnnb1 - Egfr"
"Ctnnb1","Erbb2","Ctnnb1 - Erbb2"
"Ctnnb1","Fer","Ctnnb1 - Fer"
"Ctnnb1","Fyn","Ctnnb1 - Fyn"
"Ctnnb1","Gsk3b","Ctnnb1 - Gsk3b"
"Ctnnb1","Hdac6","Ctnnb1 - Hdac6"
"Ctnnb1","Hnf4a","Ctnnb1 - Hnf4a"
"Ctnnb1","Ikbkb","Ctnnb1 - Ikbkb"
"Ctnnb1","Kat2a","Ctnnb1 - Kat2a"
"Ctnnb1","Kat2b","Ctnnb1 - Kat2b"
"Ctnnb1","Kmt2a","Ctnnb1 - Kmt2a"
"Ctnnb1","Kmt2d","Ctnnb1 - Kmt2d"
"Ctnnb1","Notch1","Ctnnb1 - Notch1"
"Ctnnb1","Nr5a1","Ctnnb1 - Nr5a1"
"Ctnnb1","Pik3r1","Ctnnb1 - Pik3r1"
"Ctnnb1","Psen1","Ctnnb1 - Psen1"
"Ctnnb1","Ptprb","Ctnnb1 - Ptprb"
"Ctnnb1","Ptprc","Ctnnb1 - Ptprc"
"Ctnnb1","Ptprf","Ctnnb1 - Ptprf"
"Ctnnb1","Ptprg","Ctnnb1 - Ptprg"
"Ctnnb1","Ptprj","Ctnnb1 - Ptprj"
"Ctnnb1","Ptprk","Ctnnb1 - Ptprk"
"Ctnnb1","Ptpro","Ctnnb1 - Ptpro"
"Ctnnb1","Smarca4","Ctnnb1 - Smarca4"
"Cxcl10","Dpp4","Cxcl10 - Dpp4"
"Cxcl10","Dpp8","Cxcl10 - Dpp8"
"Cxcl11","Dpp4","Cxcl11 - Dpp4"
"Cxcl11","Dpp8","Cxcl11 - Dpp8"
"Cxcl12","Dpp4","Cxcl12 - Dpp4"
"Cxcl12","Dpp8","Cxcl12 - Dpp8"
"Cxcl2","Dpp4","Cxcl2 - Dpp4"
"Cxcl5","Mmp9","Cxcl5 - Mmp9"
"Cxcl6","Mmp9","Cxcl6 - Mmp9"
"Cxcl8","Csnk2a1","Cxcl8 - Csnk2a1"
"Cxcl9","Dpp4","Cxcl9 - Dpp4"
"Efna1","Kat5","Efna1 - Kat5"
"Efna5","Abl1","Efna5 - Abl1"
"Efna5","Src","Efna5 - Src"
"Efnb1","Epha3","Efnb1 - Epha3"
"Efnb1","Src","Efnb1 - Src"
"Egf","Pik3r2","Egf - Pik3r2"
"F2","Cpb2","F2 - Cpb2"
"F2","F5","F2 - F5"
"F2","F8","F2 - F8"
"Faslg","Btk","Faslg - Btk"
"Faslg","Fas","Faslg - Fas"
"Faslg","Fgr","Faslg - Fgr"
"Faslg","Fyn","Faslg - Fyn"
"Faslg","Itk","Faslg - Itk"
"Faslg","Kalrn","Faslg - Kalrn"
"Faslg","Lck","Faslg - Lck"
"Faslg","Lyn","Faslg - Lyn"
"Faslg","Pik3r1","Faslg - Pik3r1"
"Fga","Klk6","Fga - Klk6"
"Fga","Plat","Fga - Plat"
"Fgb","Klk6","Fgb - Klk6"
"Fgf1","Csnk2a1","Fgf1 - Csnk2a1"
"Fgf1","Csnk2a2","Fgf1 - Csnk2a2"
"Fgf1","Csnk2b","Fgf1 - Csnk2b"
"Fgf2","Csnk2a1","Fgf2 - Csnk2a1"
"Fgf2","Csnk2a2","Fgf2 - Csnk2a2"
"Fgf2","Csnk2b","Fgf2 - Csnk2b"
"Figf","Flt4","Figf - Flt4"
"Figf","Kdr","Figf - Kdr"
"Gdf2","Bmpr1b","Gdf2 - Bmpr1b"
"Gdf9","Kdm1a","Gdf9 - Kdm1a"
"Gh1","Ghr","Gh1 - Ghr"
"Hc","C5ar1","Hc - C5ar1"
"Hc","C5ar2","Hc - C5ar2"
"Hebp1","Fpr2","Hebp1 - Fpr2"
"Hsp90ab1","Mapk6","Hsp90ab1 - Mapk6"
"Hsp90ab1","Mknk1","Hsp90ab1 - Mknk1"
"Hspd1","Aldh2","Hspd1 - Aldh2"
"Hspd1","Dhfr","Hspd1 - Dhfr"
"Hspd1","Mapk6","Hspd1 - Mapk6"
"Hspd1","Nr3c1","Hspd1 - Nr3c1"
"Htt","Crebbp","Htt - Crebbp"
"Htt","Setd2","Htt - Setd2"
"Igf1","Ide","Igf1 - Ide"
"Igf2","Ide","Igf2 - Ide"
"Il13","Il4ra","Il13 - Il4ra"
"Il18","Casp1","Il18 - Casp1"
"Il18","Casp4","Il18 - Casp4"
"Il37","Casp1","Il37 - Casp1"
"Il37","Casp4","Il37 - Casp4"
"Il4","Il4ra","Il4 - Il4ra"
"Ins","Kmt2a","Ins - Kmt2a"
"Ins2","Insr","Ins2 - Insr"
"Kitlg","Kit","Kitlg - Kit"
"Kng1","Elane","Kng1 - Elane"
"Kng1","F11","Kng1 - F11"
"Kng1","Klkb1","Kng1 - Klkb1"
"Kng1","Plg","Kng1 - Plg"
"Nppb","Hdac4","Nppb - Hdac4"
"Npvf","Abl1","Npvf - Abl1"
"Npvf","Fyn","Npvf - Fyn"
"Pf4","Proc","Pf4 - Proc"
"Ppbp","Csnk2a1","Ppbp - Csnk2a1"
"Pros1","F5","Pros1 - F5"
"Pros1","F8","Pros1 - F8"
"Psap","Ghr","Psap - Ghr"
"Ptn","Atp5c1","Ptn - Atp5c1"
"Ptn","Slc25a36","Ptn - Slc25a36"
"Rac1","Bcr","Rac1 - Bcr"
"Rac1","Cdc42bpg","Rac1 - Cdc42bpg"
"Rac1","Cit","Rac1 - Cit"
"Rac1","Dmpk","Rac1 - Dmpk"
"Rac1","Lats1","Rac1 - Lats1"
"Rac1","Map3k10","Rac1 - Map3k10"
"Rac1","Nos2","Rac1 - Nos2"
"Rac1","Pak1","Rac1 - Pak1"
"Rac1","Pak2","Rac1 - Pak2"
"Rac1","Pak3","Rac1 - Pak3"
"Rac1","Plcb2","Rac1 - Plcb2"
"Rac1","Ptk2","Rac1 - Ptk2"
"Rac1","Synj2","Rac1 - Synj2"
"Rac1","Trio","Rac1 - Trio"
"Rac2","Nos2","Rac2 - Nos2"
"Rac2","Pak2","Rac2 - Pak2"
"Rac3","Esr1","Rac3 - Esr1"
"Rac3","Rara","Rac3 - Rara"
"Rac3","Rxra","Rac3 - Rxra"
"Rb1","Abl1","Rb1 - Abl1"
"Rb1","Ar","Rb1 - Ar"
"Rb1","Aurkb","Rb1 - Aurkb"
"Rb1","Cdk2","Rb1 - Cdk2"
"Rb1","Cdk4","Rb1 - Cdk4"
"Rb1","Cdk9","Rb1 - Cdk9"
"Rb1","Chek1","Rb1 - Chek1"
"Rb1","Chek2","Rb1 - Chek2"
"Rb1","Dnmt1","Rb1 - Dnmt1"
"Rb1","Dnmt3a","Rb1 - Dnmt3a"
"Rb1","Frk","Rb1 - Frk"
"Rb1","Hdac1","Rb1 - Hdac1"
"Rb1","Hdac2","Rb1 - Hdac2"
"Rb1","Kat2b","Rb1 - Kat2b"
"Rb1","Kdm4a","Rb1 - Kdm4a"
"Rb1","Kdm5a","Rb1 - Kdm5a"
"Rb1","Mapk14","Rb1 - Mapk14"
"Rb1","Pik3r3","Rb1 - Pik3r3"
"Rb1","Pparg","Rb1 - Pparg"
"Rb1","Prdm2","Rb1 - Prdm2"
"Rb1","Prmt2","Rb1 - Prmt2"
"Rb1","Raf1","Rb1 - Raf1"
"Rb1","Smyd2","Rb1 - Smyd2"
"Rb1","Suv39h1","Rb1 - Suv39h1"
"Rb1","Taf1","Rb1 - Taf1"
"Rgs2","Adcy5","Rgs2 - Adcy5"
"Rgs2","Ddr1","Rgs2 - Ddr1"
"Rgs2","Hspa8","Rgs2 - Hspa8"
"Rgs2","Prkca","Rgs2 - Prkca"
"Rgs2","Prkcb","Rgs2 - Prkcb"
"Rgs2","Prkcg","Rgs2 - Prkcg"
"Spp1","Casp3","Spp1 - Casp3"
"Spp1","Casp8","Spp1 - Casp8"
"Tgfb1","Mmp2","Tgfb1 - Mmp2"
"Timp2","Mmp14","Timp2 - Mmp14"
"Timp2","Mmp2","Timp2 - Mmp2"
"Timp3","Adam17","Timp3 - Adam17"
"Timp3","Mmp2","Timp3 - Mmp2"
"Tlr2","Hsp90b1","Tlr2 - Hsp90b1"
"Tlr2","Hspa4","Tlr2 - Hspa4"
"Tlr2","Hspd1","Tlr2 - Hspd1"
"Tlr4","Fn1","Tlr4 - Fn1"
"Tlr4","Hsp90b1","Tlr4 - Hsp90b1"
"Tlr4","Hspa4","Tlr4 - Hspa4"
"Tlr4","Hspb8","Tlr4 - Hspb8"
"Tlr4","Hspd1","Tlr4 - Hspd1"
"Tnfsf10","Tnfrsf10d","Tnfsf10 - Tnfrsf10d"
"Vtn","Vegfa","Vtn - Vegfa"
"Vwf","Adamts13","Vwf - Adamts13"
"Vwf","F8","Vwf - F8"
"Vwf","Map3k3","Vwf - Map3k3"
"Adm","Mrgprb1","Adm - Mrgprb1"
"Agt","Agtr1b","Agt - Agtr1b"
"B2m","Gm11127","B2m - Gm11127"
"B2m","Gm7030","B2m - Gm7030"
"C4a","C3ar1","C4a - C3ar1"
"C4a","C5ar2","C4a - C5ar2"
"C4a","Cd46","C4a - Cd46"
"C4b","C3ar1","C4b - C3ar1"
"C4b","C5ar2","C4b - C5ar2"
"Cadm1","Crtam","Cadm1 - Crtam"
"Ccl17","Ccr4","Ccl17 - Ccr4"
"Ccl17","Ccr8","Ccl17 - Ccr8"
"Ccl21b","Ackr2","Ccl21b - Ackr2"
"Ccl21b","Ackr4","Ccl21b - Ackr4"
"Ccl21b","Ccr7","Ccl21b - Ccr7"
"Ccl21b","Cxcr3","Ccl21b - Cxcr3"
"Ccl27a","Ackr2","Ccl27a - Ackr2"
"Ccl27a","Ccr10","Ccl27a - Ccr10"
"Ccl27b","Ackr2","Ccl27b - Ackr2"
"Ccl27b","Ccr10","Ccl27b - Ccr10"
"Cd274","Cd80","Cd274 - Cd80"
"Cd274","Pdcd1","Cd274 - Pdcd1"
"Cd48","Cd2","Cd48 - Cd2"
"Cd48","Cd244a","Cd48 - Cd244a"
"Cd80","Cd28","Cd80 - Cd28"
"Cd80","Ctla4","Cd80 - Ctla4"
"Cd84","Cd84","Cd84 - Cd84"
"Cd86","Cd28","Cd86 - Cd28"
"Cd86","Ctla4","Cd86 - Ctla4"
"Ceacam1","Havcr2","Ceacam1 - Havcr2"
"Ceacam2","Havcr2","Ceacam2 - Havcr2"
"Clec4g","Lag3","Clec4g - Lag3"
"Col2a1","Tnfrsf10b","Col2a1 - Tnfrsf10b"
"Cort","Mrgprb1","Cort - Mrgprb1"
"Csf2","Csf2rb2","Csf2 - Csf2rb2"
"Cxcl1","Xcr1","Cxcl1 - Xcr1"
"Cxcl11","Ackr3","Cxcl11 - Ackr3"
"Cxcl11","Ccr3","Cxcl11 - Ccr3"
"Cxcl11","Cxcr3","Cxcl11 - Cxcr3"
"Defb14","Ccr2","Defb14 - Ccr2"
"Defb14","Ccr6","Defb14 - Ccr6"
"Fgl1","Lag3","Fgl1 - Lag3"
"Gal","Galr3","Gal - Galr3"
"Galp","Galr3","Galp - Galr3"
"Gm10499","Aplp2","Gm10499 - Aplp2"
"Gm10499","Erbb2","Gm10499 - Erbb2"
"Gm10499","Kir3dl1","Gm10499 - Kir3dl1"
"Gm10499","Kir3dl2","Gm10499 - Kir3dl2"
"Gm10591","Ackr2","Gm10591 - Ackr2"
"Gm10591","Ackr4","Gm10591 - Ackr4"
"Gm10591","Ccr7","Gm10591 - Ccr7"
"Gm10591","Cxcr3","Gm10591 - Cxcr3"
"Gm13304","Ackr2","Gm13304 - Ackr2"
"Gm13304","Ackr4","Gm13304 - Ackr4"
"Gm13304","Ccr7","Gm13304 - Ccr7"
"Gm13304","Cxcr3","Gm13304 - Cxcr3"
"Gm13306","Ackr2","Gm13306 - Ackr2"
"Gm13306","Ccr10","Gm13306 - Ccr10"
"Gm21541","Ackr2","Gm21541 - Ackr2"
"Gm21541","Ackr4","Gm21541 - Ackr4"
"Gm21541","Ccr7","Gm21541 - Ccr7"
"Gm21541","Cxcr3","Gm21541 - Cxcr3"
"Gm8909","Aplp2","Gm8909 - Aplp2"
"Gm8909","Erbb2","Gm8909 - Erbb2"
"Gm8909","Kir3dl1","Gm8909 - Kir3dl1"
"Gm8909","Kir3dl2","Gm8909 - Kir3dl2"
"Gstp2","Traf2","Gstp2 - Traf2"
"Gstp3","Traf2","Gstp3 - Traf2"
"Guca2b","Gucy2e","Guca2b - Gucy2e"
"Gzme","Chrm3","Gzme - Chrm3"
"Gzme","Igf2r","Gzme - Igf2r"
"H2-Aa","Lag3","H2-Aa - Lag3"
"H2-Ab1","Lag3","H2-Ab1 - Lag3"
"H2-Bl","Aplp2","H2-Bl - Aplp2"
"H2-Bl","Erbb2","H2-Bl - Erbb2"
"H2-Bl","Kir3dl1","H2-Bl - Kir3dl1"
"H2-Bl","Kir3dl2","H2-Bl - Kir3dl2"
"H2-D1","Aplp2","H2-D1 - Aplp2"
"H2-D1","Erbb2","H2-D1 - Erbb2"
"H2-D1","Kir3dl1","H2-D1 - Kir3dl1"
"H2-D1","Kir3dl2","H2-D1 - Kir3dl2"
"H2-Ea-ps","Lag3","H2-Ea-ps - Lag3"
"H2-Eb1","Lag3","H2-Eb1 - Lag3"
"H2-K1","Aplp2","H2-K1 - Aplp2"
"H2-K1","Erbb2","H2-K1 - Erbb2"
"H2-K1","Kir3dl1","H2-K1 - Kir3dl1"
"H2-K1","Kir3dl2","H2-K1 - Kir3dl2"
"H2-M3","Klrc1","H2-M3 - Klrc1"
"H2-M3","Klrd1","H2-M3 - Klrd1"
"H2-Q1","Aplp2","H2-Q1 - Aplp2"
"H2-Q1","Erbb2","H2-Q1 - Erbb2"
"H2-Q1","Kir3dl1","H2-Q1 - Kir3dl1"
"H2-Q1","Kir3dl2","H2-Q1 - Kir3dl2"
"H2-Q10","Aplp2","H2-Q10 - Aplp2"
"H2-Q10","Erbb2","H2-Q10 - Erbb2"
"H2-Q10","Kir3dl1","H2-Q10 - Kir3dl1"
"H2-Q10","Kir3dl2","H2-Q10 - Kir3dl2"
"H2-Q2","Aplp2","H2-Q2 - Aplp2"
"H2-Q2","Erbb2","H2-Q2 - Erbb2"
"H2-Q2","Kir3dl1","H2-Q2 - Kir3dl1"
"H2-Q2","Kir3dl2","H2-Q2 - Kir3dl2"
"H2-Q4","Aplp2","H2-Q4 - Aplp2"
"H2-Q4","Erbb2","H2-Q4 - Erbb2"
"H2-Q4","Kir3dl1","H2-Q4 - Kir3dl1"
"H2-Q4","Kir3dl2","H2-Q4 - Kir3dl2"
"H2-Q6","Aplp2","H2-Q6 - Aplp2"
"H2-Q6","Erbb2","H2-Q6 - Erbb2"
"H2-Q6","Kir3dl1","H2-Q6 - Kir3dl1"
"H2-Q6","Kir3dl2","H2-Q6 - Kir3dl2"
"H2-Q7","Aplp2","H2-Q7 - Aplp2"
"H2-Q7","Erbb2","H2-Q7 - Erbb2"
"H2-Q7","Kir3dl1","H2-Q7 - Kir3dl1"
"H2-Q7","Kir3dl2","H2-Q7 - Kir3dl2"
"H2-T-ps","Klrc1","H2-T-ps - Klrc1"
"H2-T-ps","Klrc2","H2-T-ps - Klrc2"
"H2-T-ps","Klrd1","H2-T-ps - Klrd1"
"H2-T23","Klrc1","H2-T23 - Klrc1"
"H2-T23","Klrc2","H2-T23 - Klrc2"
"H2-T23","Klrd1","H2-T23 - Klrd1"
"Havcr1","Havcr1","Havcr1 - Havcr1"
"Hmgb1","Havcr2","Hmgb1 - Havcr2"
"Hras","Agtr1b","Hras - Agtr1b"
"Hrg","Fcgr1","Hrg - Fcgr1"
"Icosl","Cd28","Icosl - Cd28"
"Icosl","Ctla4","Icosl - Ctla4"
"Icosl","Icos","Icosl - Icos"
"Ifna11","Ifnar1","Ifna11 - Ifnar1"
"Ifna11","Ifnar2","Ifna11 - Ifnar2"
"Ifna12","Ifnar1","Ifna12 - Ifnar1"
"Ifna12","Ifnar2","Ifna12 - Ifnar2"
"Ifna15","Ifnar1","Ifna15 - Ifnar1"
"Ifna15","Ifnar2","Ifna15 - Ifnar2"
"Ifna9","Ifnar1","Ifna9 - Ifnar1"
"Ifna9","Ifnar2","Ifna9 - Ifnar2"
"Ifnab","Ifnar1","Ifnab - Ifnar1"
"Ifnab","Ifnar2","Ifnab - Ifnar2"
"Il11","Gm13305","Il11 - Gm13305"
"Il11","Il11ra2","Il11 - Il11ra2"
"Il3","Csf2rb2","Il3 - Csf2rb2"
"Il33","Il1rl1","Il33 - Il1rl1"
"Il5","Csf2rb2","Il5 - Csf2rb2"
"Iltifb","Il10ra","Iltifb - Il10ra"
"Iltifb","Il10rb","Iltifb - Il10rb"
"Iltifb","Il22ra1","Iltifb - Il22ra1"
"Iltifb","Il22ra2","Iltifb - Il22ra2"
"Ins2","Igf1r","Ins2 - Igf1r"
"Ins2","Lrp2","Ins2 - Lrp2"
"Kng2","Bdkrb1","Kng2 - Bdkrb1"
"Kng2","Bdkrb2","Kng2 - Bdkrb2"
"Kng2","Cd93","Kng2 - Cd93"
"Kng2","Gp1ba","Kng2 - Gp1ba"
"Kng2","Gpr135","Kng2 - Gpr135"
"Kng2","Itgb2","Kng2 - Itgb2"
"Kng2","Plaur","Kng2 - Plaur"
"Kng2","Rxfp4","Kng2 - Rxfp4"
"Lgals9","Havcr2","Lgals9 - Havcr2"
"Ly9","Ly9","Ly9 - Ly9"
"Mmp1a","Cd44","Mmp1a - Cd44"
"Mmp1a","Itga2","Mmp1a - Itga2"
"Mmp1b","Cd44","Mmp1b - Cd44"
"Mmp1b","Itga2","Mmp1b - Itga2"
"Nectin1","Cd96","Nectin1 - Cd96"
"Nectin2","Cd226","Nectin2 - Cd226"
"Nectin2","Tigit","Nectin2 - Tigit"
"Nectin3","Tigit","Nectin3 - Tigit"
"Ntn3","Cdon","Ntn3 - Cdon"
"Ntn3","Neo1","Ntn3 - Neo1"
"Pdcd1lg2","Pdcd1","Pdcd1lg2 - Pdcd1"
"Pdcd1lg2","Rgmb","Pdcd1lg2 - Rgmb"
"Penk","Mrgprb2","Penk - Mrgprb2"
"Rnase2a","Tlr2","Rnase2a - Tlr2"
"Rnase2b","Tlr2","Rnase2b - Tlr2"
"Saa2","Fpr1","Saa2 - Fpr1"
"Saa2","Fpr2","Saa2 - Fpr2"
"Serpina1b","Lrp1","Serpina1b - Lrp1"
"Serpina1c","Lrp1","Serpina1c - Lrp1"
"Serpina1d","Lrp1","Serpina1d - Lrp1"
"Serpina1e","Lrp1","Serpina1e - Lrp1"
"Sftpa1","Cd93","Sftpa1 - Cd93"
"Slamf1","Slamf1","Slamf1 - Slamf1"
"Slamf6","Slamf6","Slamf6 - Slamf6"
"Slamf7","Slamf7","Slamf7 - Slamf7"
"Timd4","Havcr1","Timd4 - Havcr1"
"Tnfrsf14","Btla","Tnfrsf14 - Btla"
"Tnfrsf14","Cd160","Tnfrsf14 - Cd160"
"Trf","Tfr2","Trf - Tfr2"
"Trf","Tfrc","Trf - Tfrc"
"Ulbp1","Klrk1","Ulbp1 - Klrk1"
"a","Atrn","a - Atrn"
"a","F11r","a - F11r"
"a","Mc1r","a - Mc1r"
"a","Mc2r","a - Mc2r"
"a","Mc3r","a - Mc3r"
"a","Mc4r","a - Mc4r"
"a","Mc5r","a - Mc5r"
"Tgfb1","Tgfbr1,Tgfbr2","Tgfb1 - Tgfbr1,Tgfbr2"
